dataset,quality,sweep,bpp,psnr,infer_compress_s,infer_decompress_s,codec_compress_s,codec_decompress_s,infer_compress_gbs,infer_decompress_gbs,codec_compress_gbs,codec_decompress_gbs,e2e_comp_GBps,e2e_decomp_GBps
tecnick,4,mix,0.20215555555555556,31.33419418334961,0.09908829024434089,0.09790854156017303,0.053406048953533174,0.04766451245546341,0.5413775953300928,0.5479009230760802,1.004458883384644,1.1254532467519816,0.3517781747179729,0.36850350266121007
tecnick,5,baseline,0.26704222222222224,32.4386100769043,0.10114716446399688,0.10022518384456634,0.05301347100734711,0.049696350991725924,0.530357727595479,0.5352365367674988,1.0118971513941626,1.0794390177013786,0.3479758638373229,0.35781504209137566
tecnick,5,mix,0.27058,32.43394470214844,0.09859244734048843,0.09763152071833611,0.05227167987823486,0.049809632182121276,0.5441003012390159,0.5494555436928341,1.0262570558821507,1.076984068095702,0.3555794295623244,0.3638345146016906
tecnick,6,baseline,0.35881111111111114,33.49802017211914,0.1012077442407608,0.10018332481384278,0.05297987270355225,0.0519133113026619,0.5300402721182941,0.5354601716156989,1.0125388673169609,1.0333415255501321,0.34791497113043707,0.3526980061331573
tecnick,6,mix,0.3639044444444444,33.479705810546875,0.09893552210927009,0.09792432221770286,0.052459647297859194,0.052055168628692625,0.5422135462994154,0.5478126279862442,1.0225798887527158,1.030525531105149,0.3543321792097115,0.357676772971528
tomobank,1,baseline,0.023609161376953125,38.481693267822266,1.0059803790450097,1.0061023281216621,0.9014682235717774,0.717232415676117,0.6212844832951122,0.6212091777650895,0.6933134010244297,0.8714051210454957,0.3276628262185288,0.36266894882108824
tomobank,1,mix,0.024337196350097658,38.40538787841797,0.9818188800215721,0.9794716109633446,0.8974586274623871,0.6847756433486939,0.6365736213855123,0.6380991475447569,0.6964109329108812,0.9127076964122458,0.3325746184430054,0.37554515915867354
tomobank,2,baseline,0.012708091735839843,37.12234115600586,1.0061578202843666,1.0034397712349892,0.9015416665077209,0.6759657614231109,0.6211749164990424,0.6228575126445085,0.6932569211371523,0.9246030430360663,0.32761973483096934,0.3721554966004985
tomobank,2,mix,0.019394683837890624,37.00263214111328,0.9818042230010032,0.9802736988663674,0.9026521918773651,0.6842898290157318,0.6365831245761115,0.6375770366202603,0.6924040130009598,0.9133556769344168,0.33166062906280613,0.37547380411201026
tomobank,3,baseline,0.02076416015625,38.99276351928711,1.0060390780568123,1.0043878062963485,0.939817281961441,0.7052470059394836,0.6212482334256856,0.6222696015244049,0.6650228847628731,0.8862143259543741,0.32119534249390186,0.36557514828715687
tomobank,3,mix,0.02502307891845703,39.02842712402344,0.980491173863411,0.9790836923718452,0.9397910680770875,0.732344512462616,0.6374356206974553,0.638351966097942,0.6650414344528902,0.8534234767436786,0.32547298847507966,0.3651920648698515
tomobank,4,baseline,0.029263114929199217,40.401939392089844,1.0059499261975289,1.0037217929363251,0.9448094406127929,0.7365511913299561,0.6213032912706578,0.6226825046526107,0.6615090547726026,0.8485493029635411,0.3203880553560713,0.3591390578665491
tomobank,4,mix,0.03443698883056641,40.357322692871094,0.9813654704689979,0.9790860796570778,0.9508970530033112,0.7463646094799041,0.6368677305319397,0.6383504096176146,0.6572740950516162,0.8373923308549213,0.32345501318157543,0.36222420260100624
tomobank,5,baseline,0.039888763427734376,41.6669807434082,1.0068636842370033,1.0041097254157065,0.9629641604423523,0.7660088970661163,0.6207394404870428,0.6224419345617301,0.6490376544365853,0.8159174160950439,0.31728661044576517,0.35308368154655584
tomobank,5,mix,0.043919944763183595,41.632415771484375,0.9812988831400872,0.9784235098958015,0.9545828800201416,0.778190242767334,0.636910946031085,0.6387826883540034,0.6547362340992461,0.803145510765373,0.3228502958670984,0.3557981935712738
tomobank,6,baseline,0.058587074279785156,43.06324005126953,1.0068019824028016,1.0041936383843422,0.9705639703273773,0.8059654414653779,0.6207774824880608,0.6223899217341878,0.6439554929997902,0.7754674925808818,0.31607705146184656,0.34527352151385926
